case,time_ms,W_N,P_N
a30_mu000,0.00000,0.000000,0.000000
a30_mu000,0.01005,0.000000,0.000000
a30_mu000,0.02004,0.000000,0.000000
a30_mu000,0.03003,0.000000,0.000000
a30_mu000,0.04002,0.000000,0.000000
a30_mu000,0.05002,0.000000,0.000000
a30_mu000,0.06001,0.000000,0.000000
a30_mu000,0.07000,0.000000,0.000000
a30_mu000,0.08005,0.000000,0.000000
a30_mu000,0.09004,0.000000,0.000000
a30_mu000,0.10004,0.000000,0.000000
a30_mu000,0.11003,0.000000,0.000000
a30_mu000,0.12002,0.000000,0.000000
a30_mu000,0.13002,0.000000,0.000000
a30_mu000,0.14001,0.000000,0.000000
a30_mu000,0.15000,0.000000,0.000000
a30_mu000,0.16005,0.000000,0.000000
a30_mu000,0.17004,0.000000,0.000000
a30_mu000,0.18003,0.000000,0.000000
a30_mu000,0.19003,0.000000,0.000000
a30_mu000,0.20002,0.000000,0.000000
a30_mu000,0.21001,0.000000,0.000000
a30_mu000,0.22001,0.000000,0.000000
a30_mu000,0.23005,0.000000,0.000000
a30_mu000,0.24004,0.000000,0.000000
a30_mu000,0.25004,0.000000,0.000000
a30_mu000,0.26003,0.000000,0.000000
a30_mu000,0.27002,0.000000,0.000000
a30_mu000,0.28002,0.000000,0.000000
a30_mu000,0.29001,0.000000,0.000000
a30_mu000,0.30000,0.000000,0.000000
a30_mu000,0.31005,0.000000,0.000000
a30_mu000,0.32004,0.000000,0.000000
a30_mu000,0.33003,0.000000,0.000000
a30_mu000,0.34003,0.000000,0.000000
a30_mu000,0.35002,0.000000,0.000000
a30_mu000,0.36001,0.000000,0.000000
a30_mu000,0.37001,0.000000,0.000000
a30_mu000,0.38005,0.000000,0.000000
a30_mu000,0.39004,0.000000,0.000000
a30_mu000,0.40004,0.000000,0.000000
a30_mu000,0.41003,0.000000,0.000000
a30_mu000,0.42002,0.000000,0.000000
a30_mu000,0.43002,0.000000,0.000000
a30_mu000,0.44001,0.000000,0.000000
a30_mu000,0.45000,0.000000,0.000000
a30_mu000,0.46005,0.000000,0.000000
a30_mu000,0.47004,0.000000,0.000000
a30_mu000,0.48003,0.000000,0.000000
a30_mu000,0.49003,0.000000,0.000000
a30_mu000,0.50002,0.000000,0.000000
a30_mu000,0.51001,0.000000,0.000000
a30_mu000,0.52001,0.000000,0.000000
a30_mu000,0.53005,0.000000,0.000000
a30_mu000,0.54004,0.000000,0.000000
a30_mu000,0.55004,0.000000,0.000000
a30_mu000,0.56003,0.000000,0.000000
a30_mu000,0.57002,0.000000,0.000000
a30_mu000,0.58002,0.000000,0.000000
a30_mu000,0.59001,0.000000,0.000000
a30_mu000,0.60000,0.000000,0.000000
a30_mu000,0.61005,0.000000,0.000000
a30_mu000,0.62004,0.000000,0.000000
a30_mu000,0.63004,0.000000,0.000000
a30_mu000,0.64003,0.013481,0.054037
a30_mu000,0.65002,0.043647,0.022623
a30_mu000,0.66001,0.006062,0.010471
a30_mu000,0.67001,0.003106,0.036900
a30_mu000,0.68005,0.012820,0.023693
a30_mu000,0.69004,0.013704,0.050437
a30_mu000,0.70004,0.001074,0.050709
a30_mu000,0.71003,0.062895,0.053102
a30_mu000,0.72002,0.041951,0.011372
a30_mu000,0.73001,0.032453,0.093737
a30_mu000,0.74000,0.015122,0.041120
a30_mu000,0.75005,0.036813,0.033475
a30_mu000,0.76004,0.002299,0.017784
a30_mu000,0.77003,0.055869,0.096686
a30_mu000,0.78002,0.011051,0.031704
a30_mu000,0.79002,0.011271,0.020880
a30_mu000,0.80001,0.048509,0.013571
a30_mu000,0.81000,0.043628,0.060834
a30_mu000,0.82004,0.029789,0.079872
a30_mu000,0.83004,0.000663,0.051335
a30_mu000,0.84003,0.000532,0.006602
a30_mu000,0.85002,0.036308,0.034307
a30_mu000,0.86001,0.035332,0.102440
a30_mu000,0.87005,0.000017,0.082012
a30_mu000,0.88004,0.016669,0.064563
a30_mu000,0.89003,0.024968,0.008902
a30_mu000,0.90002,0.034333,0.143070
a30_mu000,0.91001,0.005154,0.086136
a30_mu000,0.92000,0.026278,0.123720
a30_mu000,0.93005,0.049190,0.026756
a30_mu000,0.94004,0.047649,0.139730
a30_mu000,0.95003,0.062609,0.148920
a30_mu000,0.96002,0.036853,0.144620
a30_mu000,0.97001,0.084323,0.096443
a30_mu000,0.98005,0.066822,0.122080
a30_mu000,0.99004,0.093857,0.196350
a30_mu000,1.00003,0.085568,0.191890
a30_mu000,1.01001,0.093750,0.158850
a30_mu000,1.02000,0.137360,0.135740
a30_mu000,1.03004,0.085494,0.210860
a30_mu000,1.04003,0.134380,0.218380
a30_mu000,1.05002,0.122800,0.251470
a30_mu000,1.06001,0.158720,0.161660
a30_mu000,1.07005,0.164060,0.252200
a30_mu000,1.08004,0.113620,0.221720
a30_mu000,1.09002,0.163650,0.310200
a30_mu000,1.10001,0.183650,0.219920
a30_mu000,1.11005,0.187030,0.251580
a30_mu000,1.12004,0.182300,0.267420
a30_mu000,1.13003,0.132000,0.309230
a30_mu000,1.14001,0.208230,0.318840
a30_mu000,1.15005,0.214160,0.250270
a30_mu000,1.16004,0.183300,0.298980
a30_mu000,1.17002,0.178960,0.307800
a30_mu000,1.18001,0.173090,0.382620
a30_mu000,1.19005,0.207290,0.284620
a30_mu000,1.20003,0.231600,0.313350
a30_mu000,1.21002,0.217970,0.302310
a30_mu000,1.22000,0.166920,0.421140
a30_mu000,1.23004,0.218910,0.347140
a30_mu000,1.24002,0.231390,0.359430
a30_mu000,1.25001,0.246650,0.315820
a30_mu000,1.26005,0.231740,0.425930
a30_mu000,1.27003,0.192700,0.408380
a30_mu000,1.28001,0.247640,0.397330
a30_mu000,1.29005,0.276090,0.361700
a30_mu000,1.30003,0.245050,0.411590
a30_mu000,1.31002,0.249850,0.469880
a30_mu000,1.32005,0.230100,0.423310
a30_mu000,1.33003,0.271860,0.428230
a30_mu000,1.34002,0.292660,0.401810
a30_mu000,1.35005,0.257800,0.518240
a30_mu000,1.36003,0.274210,0.473000
a30_mu000,1.37001,0.273660,0.485760
a30_mu000,1.38005,0.292920,0.417050
a30_mu000,1.39003,0.297370,0.516000
a30_mu000,1.40001,0.295420,0.505990
a30_mu000,1.41004,0.278550,0.549670
a30_mu000,1.42003,0.317490,0.464770
a30_mu000,1.43001,0.307980,0.530490
a30_mu000,1.44004,0.312580,0.532240
a30_mu000,1.45002,0.320640,0.592140
a30_mu000,1.46005,0.309360,0.543890
a30_mu000,1.47003,0.342450,0.536200
a30_mu000,1.48001,0.329900,0.575390
a30_mu000,1.49004,0.313420,0.599670
a30_mu000,1.50002,0.357020,0.629080
a30_mu000,1.51005,0.347190,0.550810
a30_mu000,1.52003,0.352500,0.617070
a30_mu000,1.53001,0.345160,0.617010
a30_mu000,1.54004,0.333720,0.698430
a30_mu000,1.55001,0.438990,0.651480
a30_mu000,1.56004,0.404370,0.628510
a30_mu000,1.57002,0.393380,0.663540
a30_mu000,1.58005,0.424520,0.766790
a30_mu000,1.59002,0.425070,0.724950
a30_mu000,1.60005,0.469180,0.707640
a30_mu000,1.61003,0.461100,0.666270
a30_mu000,1.62000,0.441810,0.798970
a30_mu000,1.63003,0.436300,0.808410
a30_mu000,1.64000,0.524760,0.789380
a30_mu000,1.65003,0.495650,0.749680
a30_mu000,1.66000,0.494450,0.789120
a30_mu000,1.67003,0.500070,0.882950
a30_mu000,1.68000,0.463880,0.822220
a30_mu000,1.69003,0.585460,0.834700
a30_mu000,1.70000,0.536470,0.810460
a30_mu000,1.71003,0.519850,0.918910
a30_mu000,1.72005,0.541590,0.912740
a30_mu000,1.73002,0.518960,0.896420
a30_mu000,1.74005,0.628920,0.876770
a30_mu000,1.75002,0.576230,0.933510
a30_mu000,1.76004,0.550780,0.975920
a30_mu000,1.77001,0.571920,0.994260
a30_mu000,1.78004,0.605500,0.929040
a30_mu000,1.79001,0.642130,0.970910
a30_mu000,1.80003,0.611470,0.972450
a30_mu000,1.81005,0.590800,1.071400
a30_mu000,1.82002,0.601910,1.019800
a30_mu000,1.83004,0.685680,1.016000
