case,time_ms,travel_mm,W_N,P_N,W_raw_N,crest_lift_mm,tip_lift_mm,rotation_deg
extract_mu000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.00452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.00901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.01351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.01800,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.02252,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.02702,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.03151,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.03600,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.04052,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.04502,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.04951,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.05401,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.05852,0.000019,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.06302,0.000024,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.06751,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.07201,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.07650,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.08102,0.000050,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.08551,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.09001,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.09450,0.000079,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.09902,0.000090,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.10352,0.000103,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.10801,0.000117,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.11250,0.000132,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.11702,0.000148,0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
extract_mu000,0.12152,0.000166,0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
extract_mu000,0.12601,0.000185,0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
extract_mu000,0.13051,0.000205,0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
